https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume BTC,tradecount
1768003200000,2026-01-10,SOLBTC,0.0015001,0.0015092,0.0014973,0.0015011,36946.715,55.52071104,15315
1767916800000,2026-01-09,SOLBTC,0.0015188,0.0015466,0.0014937,0.0015001,136696.648,208.43719141,48885
1767744000000,2026-01-07,SOLBTC,0.0015048,0.0015142,0.0014787,0.0014931,112234.116,168.0767752,32033
1767657600000,2026-01-06,SOLBTC,0.0014691,0.0015219,0.0014636,0.0015048,201822.664,302.32475076,53398
1767571200000,2026-01-05,SOLBTC,0.0014651,0.0014763,0.001436,0.0014693,110932.33,161.86082391,38614
1767484800000,2026-01-04,SOLBTC,0.0014712,0.0014822,0.00146,0.0014652,90850.345,133.69686423,22288
1767398400000,2026-01-03,SOLBTC,0.0014699,0.0014768,0.0014513,0.0014714,55849.362,81.76047486,17791
1767312000000,2026-01-02,SOLBTC,0.0014285,0.0014752,0.0014224,0.00147,151757.769,219.42128077,31255
1767225600000,2026-01-01,SOLBTC,0.0014223,0.0014318,0.0014132,0.0014285,43466.519,61.84245793,13241
1767139200000,2025-12-31,SOLBTC,0.0014127,0.0014357,0.0014099,0.0014223,100951.617,143.5039138,25834
1767052800000,2025-12-30,SOLBTC,0.0014131,0.0014226,0.0013996,0.0014128,79584.45,112.40474229,19275
1766966400000,2025-12-29,SOLBTC,0.0014246,0.0014714,0.0014018,0.0014132,180869.808,258.62166836,44244
1766880000000,2025-12-28,SOLBTC,0.0014194,0.0014292,0.0014055,0.0014245,31983.416,45.27131408,10603
1766793600000,2025-12-27,SOLBTC,0.0013998,0.0014228,0.0013956,0.0014194,27702.6,39.04482349,11747
1766707200000,2025-12-26,SOLBTC,0.0013761,0.0014056,0.0013718,0.0013996,107997.453,150.18989756,25619
1766620800000,2025-12-25,SOLBTC,0.0013973,0.0014079,0.001374,0.0013763,48812.354,68.0112954,14375
1766534400000,2025-12-24,SOLBTC,0.0014174,0.0014198,0.0013884,0.0013973,95860.738,134.27472059,20291
1766448000000,2025-12-23,SOLBTC,0.001421,0.0014291,0.0014023,0.0014173,107772.46,152.74343394,23170
1766361600000,2025-12-22,SOLBTC,0.0014213,0.0014341,0.0014015,0.0014211,160829.787,228.02636499,33915
1766275200000,2025-12-21,SOLBTC,0.0014237,0.001428,0.0014069,0.0014218,53641.474,76.00089285,15897
1766188800000,2025-12-20,SOLBTC,0.0014326,0.0014362,0.0014232,0.0014238,40881.107,58.43129761,11202
1766102400000,2025-12-19,SOLBTC,0.0013988,0.0014472,0.0013797,0.0014326,273088.762,386.17411798,56972
1766016000000,2025-12-18,SOLBTC,0.0014296,0.0014527,0.0013793,0.0013989,253010.761,358.50010028,62271
1765929600000,2025-12-17,SOLBTC,0.0014706,0.0014864,0.001416,0.0014294,251577.354,365.81543227,60888
1765843200000,2025-12-16,SOLBTC,0.0014786,0.0014824,0.0014514,0.0014697,150052.65,220.32352887,42818
1765756800000,2025-12-15,SOLBTC,0.0014674,0.0015104,0.001446,0.0014786,172256.186,253.13018109,55621
1765670400000,2025-12-14,SOLBTC,0.0014754,0.0014793,0.0014585,0.0014673,69182.052,101.62117299,21186
1765584000000,2025-12-13,SOLBTC,0.0014659,0.0014835,0.0014649,0.0014756,40817.559,60.10253604,14729
1765497600000,2025-12-12,SOLBTC,0.0014743,0.0015142,0.0014465,0.001465,159150.507,236.00429168,48922
1765411200000,2025-12-11,SOLBTC,0.0014808,0.0014924,0.0014373,0.0014742,184688.597,270.45069213,47189
1765324800000,2025-12-10,SOLBTC,0.0014872,0.0015138,0.0014717,0.0014813,167580.906,250.09770283,52641
1765238400000,2025-12-09,SOLBTC,0.00147,0.0015375,0.0014613,0.0014878,183247.028,274.09076595,53006
1765152000000,2025-12-08,SOLBTC,0.0014631,0.0015186,0.0014558,0.0014699,132674.123,198.04461622,40122
1765065600000,2025-12-07,SOLBTC,0.0014816,0.0014906,0.0014523,0.0014632,116826.874,171.90427882,30551
1764979200000,2025-12-06,SOLBTC,0.0014919,0.0014963,0.0014755,0.001482,52710.946,78.14931994,13279
1764892800000,2025-12-05,SOLBTC,0.0015092,0.0015225,0.0014723,0.0014919,122878.202,183.78560653,34889
1764806400000,2025-12-04,SOLBTC,0.0015484,0.0015679,0.0015042,0.0015095,108413.171,166.88668771,29635
1764720000000,2025-12-03,SOLBTC,0.0015189,0.0015576,0.0015025,0.0015483,149120.668,227.60238597,44484
1764633600000,2025-12-02,SOLBTC,0.0014675,0.0015398,0.0014554,0.0015189,190596.276,285.91857977,46635
1764547200000,2025-12-01,SOLBTC,0.0014771,0.0014861,0.0014513,0.0014681,189364.032,278.05700224,46837
1764460800000,2025-11-30,SOLBTC,0.0014968,0.0015267,0.001475,0.0014775,65877.562,99.2130385,20491
1764374400000,2025-11-29,SOLBTC,0.001511,0.0015191,0.0014928,0.0014969,70366.153,106.03327335,15923
1764288000000,2025-11-28,SOLBTC,0.0015418,0.0015541,0.0015043,0.0015108,200754.691,307.48142551,43382
1764201600000,2025-11-27,SOLBTC,0.0015806,0.0015867,0.0015402,0.0015416,138796.265,216.69557649,32955
1764115200000,2025-11-26,SOLBTC,0.0015904,0.0016073,0.0015551,0.0015807,268063.475,423.0238767,59889
1764028800000,2025-11-25,SOLBTC,0.001568,0.0016012,0.0015445,0.0015903,151228.81,237.30032406,43120
